"","datetime","open","high","low","close","volume","turnover"
"1",2021-10-15 00:00:00,0.77176,0.77348,0.76297,0.76352,10369.29560191,7967.68747739109
"2",2021-10-15 00:30:00,0.76287,0.76406,0.75911,0.75922,9708.85838508,7398.81283114993
"3",2021-10-15 01:00:00,0.76009,0.76256,0.75229,0.75789,17125.91697344,12968.3976283977
"4",2021-10-15 01:30:00,0.75828,0.7613,0.75578,0.76033,2895.1891361,2194.16572794476
"5",2021-10-15 02:00:00,0.75999,0.76406,0.75778,0.76092,11849.99558685,9014.39683290565
"6",2021-10-15 02:30:00,0.76368,0.77141,0.76344,0.76933,6964.71710628,5353.45301414025
"7",2021-10-15 03:00:00,0.76893,0.77308,0.7677,0.77187,7389.54920078,5687.46751046158
"8",2021-10-15 03:30:00,0.77329,0.77626,0.77113,0.77249,29311.18166433,22674.4990205261
"9",2021-10-15 04:00:00,0.7744,0.77563,0.76673,0.76781,8470.30425049,6537.06910484948
"10",2021-10-15 04:30:00,0.76885,0.77072,0.76601,0.77056,6213.87358647,4777.33781132025
"11",2021-10-15 05:00:00,0.77013,0.77254,0.76448,0.7686,7728.31438527,5937.85170599149
"12",2021-10-15 05:30:00,0.76835,0.77221,0.76757,0.77107,5732.80183882,4418.66334048696
"13",2021-10-15 06:00:00,0.77056,0.77159,0.76558,0.76659,3501.5025,2691.05129396
"14",2021-10-15 06:30:00,0.7665,0.7665,0.76193,0.76249,9016.32597902,6889.63824309945
"15",2021-10-15 07:00:00,0.76317,0.76528,0.75913,0.75913,7407.33650917,5641.61580303253
"16",2021-10-15 07:30:00,0.76101,0.76335,0.75746,0.75746,5566.21620554,4236.15476491698
"17",2021-10-15 08:00:00,0.75773,0.76058,0.7423,0.74744,69692.20603227,52559.1441432358
"18",2021-10-15 08:30:00,0.74745,0.74971,0.74,0.74,21335.82914849,15920.140359234
"19",2021-10-15 09:00:00,0.73994,0.74785,0.73619,0.74523,13979.72540594,10394.6567719646
"20",2021-10-15 09:30:00,0.74529,0.7494,0.74385,0.74756,4528.60634346,3381.74173048143
"21",2021-10-15 10:00:00,0.74522,0.74602,0.74095,0.7451,15994.42675725,11904.8659039428
"22",2021-10-15 10:30:00,0.74534,0.7505,0.74361,0.74907,13038.54304865,9741.48379746234
"23",2021-10-15 11:00:00,0.74883,0.75302,0.74773,0.75302,27338.66156568,20573.6827955339
"24",2021-10-15 11:30:00,0.75267,0.75318,0.74997,0.74997,3391.07136089,2549.6368727403
"25",2021-10-15 12:00:00,0.75007,0.75539,0.74829,0.75296,26575.46534638,19967.7316026267
